_id__$oid,last_updated__$date,is_deleted,custom_dosing_data__dosing_mode,custom_dosing_data__applied_dose,custom_dosing_data__applied_dose_outlet,custom_dosing_data__flow,raw_sewage__time,raw_sewage__turbidity,raw_sewage__ph,raw_sewage__cod,raw_sewage__tss,raw_sewage__ammonia,raw_sewage__phosphate,raw_sewage__bod,raw_sewage__fst,pst_outlet__time,pst_outlet__turbidity,pst_outlet__ph,pst_outlet__cod,pst_outlet__tss,pst_outlet__ammonia,pst_outlet__bod,at__time,at__ph,at__mlss,at__do,at__percent_settlement,at__svi,fst__time,fst__turbidity,fst__ph,fst__cod,fst__tss,fst__ammonia,fst__phosphate,fst__do,fst__bod,remarks,date
62b6d9ddc979c700126325cc,2022-06-24T18:30:09.781Z,False,automatic,,40.0,1.0625,,,7.2,540.0,756,25,2.5,293.0,,,,7.3,0.0,156.0,,90.0,,7.5,480.0,0.64,2,41.66666666666666,,,7.5,120.0,56,15.0,1.5,2.76,42.0,,2022-06-22
62b6da82c979c7001263261c,2022-06-24T18:30:09.781Z,False,automatic,,40.0,1.0546875,,,7.5,520.0,332,50,4.5,,,,,7.5,,184.0,,,,7.6,820.0,0.28,6,73.17073170731707,,,7.7,112.0,65,30.0,2.0,0.52,,,2022-06-23
62b6daeac979c7001263264d,2022-06-24T18:30:09.781Z,False,automatic,,40.0,1.0546875,,,7.4,560.0,376,45,3.5,148.0,,,,7.4,,156.0,,73.0,,7.6,690.0,0.52,3,43.47826086956522,,,7.7,92.0,43,35.0,1.5,0.8,32.0,,2022-06-24
62baa79353912700128f1578,2022-06-27T18:30:09.027Z,False,automatic,,40.0,1.125,,,7.4,880.0,640,40,3.5,,,,,7.4,,168.0,,,,7.5,460.0,1.82,2,43.47826086956522,,,7.5,104.0,59,25.0,2.0,2.2,,,2022-06-25
62baa8fc53912700128f15b3,2022-06-27T18:30:09.027Z,False,automatic,,40.0,1.0703125,,,7.4,736.0,436,40,3.5,208.0,,,,7.5,,120.0,,83.0,,7.6,360.0,0.32,2,55.55555555555555,,,7.6,56.0,24,15.0,1.0,0.4,14.0,,2022-06-26
62bad8b253912700128f1767,2022-06-27T18:30:09.027Z,False,automatic,,40.0,1.0703125,,,7.5,,504,30,2.5,254.0,,,,7.5,,168.0,,,,7.6,580.0,0.34,6,103.44827586206895,,,7.7,,30,15.0,1.0,0.56,22.0,,2022-06-27
62bad99b53912700128f17d6,2022-06-27T18:30:09.027Z,False,automatic,,40.0,1.15625,,,7.4,780.0,604,30,2.5,273.0,,,,7.4,,144.0,,,,7.5,1000.0,0.82,8,80.0,,,7.7,60.0,12,10.0,1.5,1.36,10.0,,2022-06-28
62c2ab880d22bf001289d3c4,2022-07-03T18:30:09.923Z,False,automatic,,30.0,1.015625,,,7.5,510.0,488,35,3.0,230.0,,,,7.5,,152.0,,,,7.6,980.0,0.42,8,81.63265306122449,,,7.7,40.0,10,5.0,1.0,0.99,8.0,,2022-06-29
62c2abf50d22bf001289d415,2022-07-03T18:30:09.923Z,False,automatic,,30.0,1.1171875,,,7.6,720.0,496,30,2.5,278.0,,,,7.5,,156.0,,,,7.6,1240.0,1.02,10,80.64516129032258,,,7.8,,11,5.0,0.5,1.23,9.0,,2022-06-30
62c2ac700d22bf001289d446,2022-07-03T18:30:09.923Z,False,automatic,,30.0,1.0625,,,7.5,896.0,764,35,3.5,183.0,,,,7.5,,164.0,,,,7.6,1220.0,1.0,10,81.96721311475409,,,7.7,48.0,8,5.0,1.0,1.12,8.0,,2022-07-01
62cd42163e248c00130822d3,2022-07-11T18:30:10.463Z,False,automatic,,30.0,1.109375,,,7.5,864.0,540,35,3.5,178.0,,,,7.5,,188.0,,,,7.6,740.0,0.56,6,81.08108108108108,,,7.6,56.0,12,5.0,0.5,1.08,15.0,,2022-07-02
62cd42b73e248c001308232b,2022-07-11T18:30:10.463Z,False,automatic,,30.0,1.1015625,,,7.5,768.0,456,35,3.5,127.0,,,,7.4,,152.0,,,,7.5,1680.0,0.64,6,35.714285714285715,,,7.6,28.0,11,0.5,1.0,2.12,21.0,,2022-07-03
62cd43403e248c001308237b,2022-07-11T18:30:10.463Z,False,automatic,,30.0,1.1484375,,,7.5,,652,45,5.0,352.0,,,,7.4,,224.0,,,,7.5,680.0,1.06,3,44.11764705882353,,,7.6,,24,20.0,2.0,1.34,18.0,,2022-07-04
62cd44033e248c00130823cb,2022-07-11T18:30:10.463Z,False,automatic,,30.0,1.09375,,,7.4,,672,40,4.5,285.0,,,,7.3,,204.0,,,,7.0,500.0,0.64,5,100.0,,,7.5,,42,15.0,1.5,2.08,21.0,,2022-07-05
62cd45e43e248c00130824b8,2022-07-11T18:30:10.463Z,False,automatic,,30.0,1.078125,,,7.4,610.0,364,35,4.0,,,,,7.4,,220.0,,,,7.6,1140.0,0.56,8,70.17543859649122,,,7.5,30.0,20,15.0,0.2,2.32,,,2022-07-06
62cd46923e248c001308250d,2022-07-11T18:30:10.463Z,False,automatic,,30.0,1.0390625,,,7.5,,896,45,4.5,490.0,,,,7.5,,308.0,,,,7.6,1170.0,1.34,8,68.37606837606839,,,7.7,,10,10.0,2.0,2.84,9.0,,2022-07-07
62cd47373e248c001308255d,2022-07-11T18:30:10.463Z,False,automatic,,30.0,1.0625,,,7.6,,392,45,4.5,178.0,,,,7.6,,116.0,,,,7.7,850.0,0.0,10,117.6470588235294,,,7.8,,12,5.0,2.0,0.0,8.0,,2022-07-08
62cfd6d9c3c9870013850093,2022-07-13T18:30:09.317Z,False,automatic,,30.0,1.0703125,,,7.0,340.0,316,50,4.0,200.0,,,,7.5,,200.0,,,,7.8,1630.0,0.56,10,61.34969325153374,,,7.7,36.0,14,10.0,1.0,1.02,15.0,,2022-07-09
